PIVA,RagioneSociale,email
238,PASQUINI  ,test@prova.it
239,BEVILACQUA,test@prova.it
240,RITELLI   ,test@prova.it
241,PICCO     ,test@prova.it
242,DI FLORIO ,test@prova.it
243,DE RENTIIS,test@prova.it
244,DE RENTIIS,test@prova.it
245,RONZITTI  ,test@prova.it
246,TUCCI     ,test@prova.it
247,DE CRECCHIO---------      ,test@prova.it
248,MISCIA    ,test@prova.it
249,DI DIEGO  ,test@prova.it
250,D INTINO  ,test@prova.it
251,MUCCI     ,test@prova.it
252,VALENTINI ,test@prova.it
253,MASTRANGELO---------      ,test@prova.it
254,GIALLEONARDO---------     ,test@prova.it
255,MASCIANGELO---------      ,test@prova.it
256,DI LORETO ,test@prova.it
257,SABELLA   ,test@prova.it
258,DI FLORIO ,test@prova.it
259,ARGENTIERI,test@prova.it
260,RUTOLO    ,test@prova.it
261,DEL VECCHIO---------      ,test@prova.it
262,RENZETTI  ,test@prova.it
263,FIDANZA   ,gabriele.citossi@rai.it
264,SARACENI  ,test@prova.it
265,ROSSI     ,test@prova.it
266,MEMMO     ,test@prova.it
267,PETRILLO  ,test@prova.it
268,DI ROCCO  ,test@prova.it
269,SIGISMONDI,test@prova.it
270,MAMBELLA  ,test@prova.it
271,ROSATO    ,test@prova.it
272,DE ROSA   ,test@prova.it
273,TRIVILINO ,test@prova.it
274,PANTALEONE,test@prova.it
275,DI PIETRO ,test@prova.it
276,ZULLI     ,test@prova.it
277,NICOLAI   ,test@prova.it
278,DI TONDO  ,test@prova.it
279,STANISCIA ,test@prova.it
280,BONAFFINI ,test@prova.it
281,MARINI    ,test@prova.it
282,MORAPITO  ,test@prova.it
283,TADDEO    ,test@prova.it
284,GIANGIORDANO---------     ,test@prova.it
285,DELLA MORGIA---------     ,test@prova.it
286,TANZI     ,test@prova.it
287,SANTAGATA ,test@prova.it
288,ANGELUCCI ,test@prova.it
289,GARGARELLA,test@prova.it
290,STELLA    ,test@prova.it
291,SPADANO   ,test@prova.it
292,ZULLI     ,test@prova.it
293,ROMANDINI ,test@prova.it
294,CICCOCIOPPO---------      ,test@prova.it
295,D ALESSANDRO---------     ,test@prova.it
296,PITUCCI   ,test@prova.it
297,IEZZI     ,test@prova.it
298,RANZI     ,test@prova.it
299,D ANTONIO ,test@prova.it
300,CHIRIACO  ,test@prova.it
301,CARLINI   ,test@prova.it
302,SPICCIATI ,test@prova.it
303,SCIARRA   ,test@prova.it
304,TRIVILINO ,test@prova.it
305,CALDORO   ,test@prova.it
306,MASTRANGELO---------      ,test@prova.it
307,DI MARTINO,test@prova.it
308,DEL BELLO ,test@prova.it
309,MASCIANGELO---------      ,test@prova.it
310,DE IULIIS ,test@prova.it
311,MICOLUCCI ,test@prova.it
312,D AMICO   ,test@prova.it
313,MARANO    ,test@prova.it
314,DI LELLO  ,test@prova.it
315,TORRETTA  ,test@prova.it
316,ROSA      ,test@prova.it
317,DI BATTISTA---------      ,test@prova.it
318,LA FARCIOLA---------      ,test@prova.it
319,ALESSANDRINI---------     ,test@prova.it
320,STELLA    ,test@prova.it
321,D ARCANGELO---------      ,test@prova.it
322,SCIORILLI ,test@prova.it
323,DI CAMPLI ,test@prova.it
324,MARROCCO  ,test@prova.it
325,NARDONE   ,test@prova.it
326,TUCCI     ,test@prova.it
327,MORETTI   ,test@prova.it
328,ALFIERI   ,test@prova.it
329,NUZZACI   ,test@prova.it
330,DE LUCIA  ,test@prova.it
331,D AMBROSIO,test@prova.it
332,VALLETTA BOLLETTA---------,test@prova.it
333,ROBERTO   ,test@prova.it
334,SPADANO   ,test@prova.it
335,PANCELLA  ,test@prova.it
336,STEFANUCCI,test@prova.it
337,NACCARI   ,test@prova.it
338,MUCCI     ,test@prova.it
339,GIAMPAOLO ,test@prova.it
340,RUSCELLO  ,test@prova.it
341,DI FLORIO ,test@prova.it
342,DELLA GUARDIA---------    ,test@prova.it
343,LANZARA   ,test@prova.it
344,TRIVENTI  ,test@prova.it
345,TRIVILINO ,test@prova.it
346,AVOCONE   ,test@prova.it
347,POMPA     ,test@prova.it
348,LA BARBA  ,test@prova.it
349,FANTINI   ,test@prova.it
350,BIESTRO LAVIOSA---------  ,test@prova.it
351,MASTRANGELO---------      ,test@prova.it
352,RUSSI     ,test@prova.it
353,DI MARTINO,test@prova.it
354,NASUTI    ,test@prova.it
355,ANGELUCCI ,test@prova.it
356,LANCI     ,test@prova.it
357,URSINI    ,test@prova.it
358,VERI      ,test@prova.it
359,DE PROSPERO---------      ,test@prova.it
360,VERNA     ,test@prova.it
361,SAURO     ,test@prova.it
362,DI NOLA   ,test@prova.it
363,CIERI     ,test@prova.it
364,PIZZIMENTI,test@prova.it
365,DE FILIPPIS---------      ,test@prova.it
366,MARFISI   ,test@prova.it
367,VENTURA   ,test@prova.it
368,MUCCI     ,test@prova.it
369,CAVALLINI ,test@prova.it
370,CIARELLI  ,test@prova.it
371,NARDIZZI  ,test@prova.it
372,LONGO     ,test@prova.it
373,PISCICELLI,test@prova.it
374,DI FABIO  ,test@prova.it
375,DI CREDICO,test@prova.it
376,ROMANDINI ,test@prova.it
377,DI MICHELE,test@prova.it
378,CATANIA   ,test@prova.it
379,RAGNELLI  ,test@prova.it
380,CROCE     ,test@prova.it
381,RAMONDO   ,test@prova.it
382,ZINGARELLI,test@prova.it
383,TROIANO   ,test@prova.it
384,ROSATO    ,test@prova.it
385,TESTA     ,test@prova.it
386,AMADEI    ,test@prova.it
387,SILVERI   ,test@prova.it
388,FANTINI   ,test@prova.it
389,NASUTI    ,test@prova.it
390,CAPORALE  ,test@prova.it
391,DI CAMPLI ,test@prova.it
392,DI PIETRO ,test@prova.it
393,GIULIANTE ,test@prova.it
394,LIBERIO   ,test@prova.it
395,GALEANI   ,test@prova.it
396,DE FIDELIBUS---------     ,test@prova.it
397,BOMBA     ,test@prova.it
398,MURRI     ,test@prova.it
399,GIANGIULIO,test@prova.it
400,FISCHI    ,test@prova.it
401,GIUSTI    ,test@prova.it
402,DI CECCO  ,test@prova.it
403,ELMO      ,test@prova.it
404,CUONZO    ,test@prova.it
405,UCCI      ,test@prova.it
406,FANTINI   ,test@prova.it
407,SOZIO     ,test@prova.it
408,NAPOLEONE ,test@prova.it
409,DE ANGELIS,test@prova.it
410,FRANCESCUCCI---------     ,test@prova.it
411,RULLO     ,test@prova.it
412,CAVACINI  ,test@prova.it
413,GNAGNARELLA---------      ,test@prova.it
414,DI CIANO  ,test@prova.it
415,CHIEFFO   ,test@prova.it
416,DI CIANO  ,test@prova.it
417,ROSSI     ,test@prova.it
418,D AMICO   ,test@prova.it
419,D ONOFRIO ,test@prova.it
420,FERRANTE  ,test@prova.it
421,RASPA     ,test@prova.it
422,RASPA     ,test@prova.it
423,MARTELLI  ,test@prova.it
424,CATINELLA ,test@prova.it
425,CANDELORO ,test@prova.it
426,BETTOLI   ,test@prova.it
427,BUCCIANTE ,test@prova.it
428,CIARELLI  ,test@prova.it
429,BUCCO     ,test@prova.it
430,PORFIRIO  ,test@prova.it
431,VILLARA   ,test@prova.it
432,CIGANA    ,test@prova.it
433,DI MECO   ,test@prova.it
434,DI MECO   ,test@prova.it
435,ANTRILLI  ,test@prova.it
436,CIAMPOLI  ,test@prova.it
437,MEMMO     ,test@prova.it
438,MICOLUCCI ,test@prova.it
439,CIARELLI  ,test@prova.it
440,SALVATORE ,test@prova.it
441,OTTAVIANO ,test@prova.it
442,ANDREOLI  ,test@prova.it
443,ASARO     ,test@prova.it
444,DI SALLE  ,test@prova.it
445,BALASSONE ,test@prova.it
446,SCOPETTA  ,test@prova.it
447,CAVALLO   ,test@prova.it
448,VALERIO   ,test@prova.it
449,D ARPA    ,test@prova.it
450,BOMBA     ,test@prova.it
451,SILVI     ,test@prova.it
452,MENNA     ,test@prova.it
453,CARAVAGGIO,test@prova.it
454,DI LULLO  ,test@prova.it
455,IANNONE   ,test@prova.it
456,DI MARCO  ,test@prova.it
457,TADDEO    ,test@prova.it
458,DI MECO   ,test@prova.it
459,FEDELE    ,test@prova.it
460,LA MORGIA ,test@prova.it
461,DE GREGORIO,test@prova.it
462,ZULLI     ,test@prova.it
463,ZULLI     ,test@prova.it
464,MARTELLI  ,test@prova.it
465,MARROLLO  ,test@prova.it
466,RANIERI   ,test@prova.it
467,RANIERI   ,test@prova.it
468,ABBONIZIO ,test@prova.it
469,PAOLEMILIO,test@prova.it
470,ZAMPETTI  ,test@prova.it
471,SALVATORE ,test@prova.it
472,ALESSANDRINI---------     ,test@prova.it
473,CHIARINI  ,test@prova.it
474,D AMICO   ,test@prova.it
475,PAONE     ,test@prova.it
476,NATARELLI ,test@prova.it
477,FAZIA     ,test@prova.it
478,TANZI     ,test@prova.it
479,VERNA     ,test@prova.it
480,LOMBREGLIA,test@prova.it
481,MURINNI   ,test@prova.it
482,PAONE     ,test@prova.it
483,DI CIANO  ,test@prova.it
484,D ORSOGNA ,test@prova.it
485,D ORSOGNA ,test@prova.it
486,VERONESE  ,test@prova.it
487,DI NUNZIO ,test@prova.it
488,DI CAMPLI ,test@prova.it
489,TORINELLO ,test@prova.it
490,MICOLUCCI ,test@prova.it
491,DI NUNZIO ,test@prova.it
492,FARS      ,test@prova.it
493,CROGNALE  ,test@prova.it
494,FERRANTE  ,test@prova.it
495,CICCOCIOPPO---------      ,test@prova.it
496,DI MECO   ,test@prova.it
497,GIANSANTE ,test@prova.it
498,SALVATORE ,test@prova.it
499,SALVATORE ,test@prova.it
500,MASTROFRANCESCO---------  ,test@prova.it
